지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%)
105,강릉,2022-01-01,-0.4,-5.7,6.4,,2.5,34
105,강릉,2022-01-02,4.3,0,8.7,,3.3,41.3
105,강릉,2022-01-03,1.9,-1.2,5.9,,3,35.4
105,강릉,2022-01-04,1.3,-2.1,5.9,,1.7,46.9
105,강릉,2022-01-05,1.1,-3.3,5.7,,2.1,60.9
105,강릉,2022-01-06,1.7,-3,8,,2,57
105,강릉,2022-01-07,2.6,-1.7,9.5,,2.3,41.1
105,강릉,2022-01-08,4.8,1.7,9.7,,3.6,42.3
105,강릉,2022-01-09,4.2,0.8,8.5,,1.4,62
105,강릉,2022-01-10,4.4,0.6,9.2,,2.3,60.8
105,강릉,2022-01-11,-0.3,-5.4,3.6,,3.4,38.9
105,강릉,2022-01-12,-2.7,-7.2,3.3,,3.5,31.5
105,강릉,2022-01-13,-3,-5.6,0.6,,3.6,30.8
105,강릉,2022-01-14,-1.1,-6.3,6,,2.4,34.3
105,강릉,2022-01-15,3.4,-0.5,7.4,,2.5,37.1
105,강릉,2022-01-16,3.3,-1.8,6.7,,3.5,37.8
105,강릉,2022-01-17,-1.5,-4.3,3.2,,3.2,29.3
105,강릉,2022-01-18,-2.3,-6.4,3.2,,1.9,36.8
105,강릉,2022-01-19,-0.5,-3.9,5.1,2.8,2.2,49
105,강릉,2022-01-20,-1.6,-3.5,2.7,2.6,2.9,61.8
105,강릉,2022-01-21,0.5,-5,6.7,,2.3,59.4
105,강릉,2022-01-22,1.5,-2.6,8.1,,1.6,67.6
105,강릉,2022-01-23,2.9,-0.7,7.1,0.8,1.9,77.1
105,강릉,2022-01-24,2.4,1.1,3.9,1.2,1.1,84.3
105,강릉,2022-01-25,4.2,0.5,7.8,,2.1,64.3
105,강릉,2022-01-26,5.3,2.5,10,,2.3,46.1
105,강릉,2022-01-27,3,-0.7,8.5,,2.1,53.8
105,강릉,2022-01-28,2,-1.3,6.2,,2.4,37.3
105,강릉,2022-01-29,1.7,-2.2,7.4,,2.6,30.3
105,강릉,2022-01-30,0.5,-3.8,5.4,,2.4,39.1
105,강릉,2022-01-31,3,-2.3,9.2,,2.6,31
105,강릉,2022-02-01,2.1,-0.6,5.8,,3.2,46.1
105,강릉,2022-02-02,0.9,-1.6,5.5,,4,37.8
105,강릉,2022-02-03,0.7,-2.9,6.5,,3.1,32.6
105,강릉,2022-02-04,-1,-4.4,4.1,,3.4,30.4
105,강릉,2022-02-05,-3.5,-7.3,1.6,,4,32.8
105,강릉,2022-02-06,-0.5,-6.1,4.9,,2.7,30
105,강릉,2022-02-07,0.2,-3.8,4.3,,1.9,36.8
105,강릉,2022-02-08,1.6,-2.2,7.2,,1.7,39.5
105,강릉,2022-02-09,3.7,-2.1,9.8,,2.5,45.3
105,강릉,2022-02-10,3.6,0,8.6,,2.4,50.5
105,강릉,2022-02-11,5.9,-0.3,11.7,,2,39.1
105,강릉,2022-02-12,6.4,3.4,10.4,,1.7,45.6
105,강릉,2022-02-13,5,1.4,8.6,,2,69.6
105,강릉,2022-02-14,6.2,2.6,11.2,0.5,2.1,63
105,강릉,2022-02-15,-0.5,-4.5,3.5,,4.4,44
105,강릉,2022-02-16,-4.6,-7.2,0,,3.8,32.5
105,강릉,2022-02-17,-3.9,-9.2,1.5,,2.7,41
105,강릉,2022-02-18,2.3,-5,8.7,,3,38.4
105,강릉,2022-02-19,3.7,-0.1,7.1,,3,30.1
105,강릉,2022-02-20,-1.8,-5.5,3,,3.7,29
105,강릉,2022-02-21,0.2,-5,5.3,,3,37.8
105,강릉,2022-02-22,-1.2,-4.9,2.8,,3.2,30.4
105,강릉,2022-02-23,-2.5,-6.8,2.3,,2.3,34.3
105,강릉,2022-02-24,1.9,-4,8.5,,3.6,24.5
105,강릉,2022-02-25,6.6,1.6,12.5,,3.8,37.9
105,강릉,2022-02-26,8.9,4.8,13.9,0.7,4.6,47.6
105,강릉,2022-02-27,7.1,2.1,12,,3.6,35.3
105,강릉,2022-02-28,9.5,5.2,16.1,,2.3,38.9
105,강릉,2022-03-01,10,6.4,14.3,,2.8,49.3
105,강릉,2022-03-02,7.9,3,14.2,,3.1,34.9
105,강릉,2022-03-03,6.4,1.6,11,,2.2,48.3
105,강릉,2022-03-04,12.6,1.4,18.9,0,3.7,28.8
105,강릉,2022-03-05,6.2,2.3,11.7,,4.1,24.6
105,강릉,2022-03-06,3.6,-0.2,8.4,,2.6,32.6
105,강릉,2022-03-07,6.2,-0.8,11.4,,2.1,32.5
105,강릉,2022-03-08,7.9,3.4,12.7,,1.7,42.4
105,강릉,2022-03-09,8.1,2,13.4,,1.6,56.8
105,강릉,2022-03-10,14,3.6,20.4,,2.8,30.5
105,강릉,2022-03-11,16.2,12.5,21.8,,2.6,33.3
105,강릉,2022-03-12,11.6,7.3,14.9,,1.7,64.4
105,강릉,2022-03-13,7.2,6.4,10.3,4.4,1.8,89.4
105,강릉,2022-03-14,9.1,6.9,11.8,1.8,1.6,85.3
105,강릉,2022-03-15,10.3,6.9,14.7,,2.3,66.1
105,강릉,2022-03-16,13.1,6.2,20.2,,1.8,52.8
105,강릉,2022-03-17,6.8,5.8,10,12.4,1.3,86.3
105,강릉,2022-03-18,4.8,3.4,6,17.6,2,86.8
105,강릉,2022-03-19,2.1,1.1,3.4,36.7,1,92.5
105,강릉,2022-03-20,5.7,1.5,10.6,,1.6,72
105,강릉,2022-03-21,6.5,2.1,10.5,,2,64.4
105,강릉,2022-03-22,6.3,2.1,10.8,,2.2,58.8
105,강릉,2022-03-23,7.6,2.1,11.6,,3,49.6
105,강릉,2022-03-24,11,7.2,14,,4.1,54
105,강릉,2022-03-25,13.6,10.6,17.2,4.8,1.3,59.4
105,강릉,2022-03-26,10.5,7,13.5,8.3,1.6,88.3
105,강릉,2022-03-27,11.9,6.6,17.2,,3.1,43.9
105,강릉,2022-03-28,8.4,3.6,14.1,,2.5,42.3
105,강릉,2022-03-29,13.9,4.4,20.2,,2.8,32.8
105,강릉,2022-03-30,12.8,8.7,17.5,6.7,2,58.8
105,강릉,2022-03-31,6.6,4,8.8,10.2,1.9,90.6
105,강릉,2022-04-01,6.6,3.1,11.4,0.4,1.7,73.8
105,강릉,2022-04-02,9.3,2.3,14.7,,1.9,58.4
105,강릉,2022-04-03,11.1,6.4,16.5,,2.4,49.6
105,강릉,2022-04-04,14.7,7.3,19.7,,2.5,32.8
105,강릉,2022-04-05,16.5,11.3,22.2,,4.1,20.4
105,강릉,2022-04-06,12.7,8.6,15.3,,2.2,52.8
105,강릉,2022-04-07,13.6,8.2,21.4,,1.8,46
105,강릉,2022-04-08,16,5.3,23.7,,2.1,40
105,강릉,2022-04-09,23.3,18.9,27.3,,5.7,30
105,강릉,2022-04-10,25.4,21.7,31.3,,4.3,21.9
105,강릉,2022-04-11,24.4,19.9,28,,3.1,35.4
105,강릉,2022-04-12,19.7,11.8,26.1,0,3.3,59.4
105,강릉,2022-04-13,8.9,8,11.8,19,1.9,87.8
105,강릉,2022-04-14,9.5,8.2,11.1,3.1,0.9,77
105,강릉,2022-04-15,10.2,6.5,14.8,,1.8,63.1
105,강릉,2022-04-16,14,5,20.2,,2.4,43.1
105,강릉,2022-04-17,17.6,12.2,21.9,,2.3,24.3
105,강릉,2022-04-18,17.3,10.3,24.7,,2.2,33.6
105,강릉,2022-04-19,16.3,8.2,22.7,,1.5,52
105,강릉,2022-04-20,20.9,16.1,26.1,,3.3,24.1
105,강릉,2022-04-21,20,16.1,23.6,,3.5,31
105,강릉,2022-04-22,21.1,17.8,24.9,,4,49
105,강릉,2022-04-23,16.7,12.4,20.2,,2.2,60.3
105,강릉,2022-04-24,24.1,12,29.3,,3.2,38
105,강릉,2022-04-25,22,19.6,24.8,,1.9,49.9
105,강릉,2022-04-26,20.8,16.3,24.3,23.5,1.9,71
105,강릉,2022-04-27,15,11.1,22.5,,2.7,55.8
105,강릉,2022-04-28,13.3,9.6,16.6,,1.7,75.8
105,강릉,2022-04-29,9.5,8.3,12.7,22.8,1.9,88.8
105,강릉,2022-04-30,13.1,6,18.8,,1.7,62.6
105,강릉,2022-05-01,14.8,9.7,20.2,,3,42.5
105,강릉,2022-05-02,11.7,8.2,15.4,0.9,2.1,60.9
105,강릉,2022-05-03,17.6,8.2,23.9,,3.8,37.8
105,강릉,2022-05-04,23.7,18.9,29,,5.1,28.5
105,강릉,2022-05-05,23.5,18,28.1,,2.8,33.8
105,강릉,2022-05-06,22.9,16.4,27.1,,2.5,45.6
105,강릉,2022-05-07,14.9,10.9,22.4,4.6,2.3,73.9
105,강릉,2022-05-08,13.7,9.3,17.7,,1.3,66.5
105,강릉,2022-05-09,16.7,11.9,21.6,,2,49.6
105,강릉,2022-05-10,15.6,8.6,22.3,,1.7,50.1
105,강릉,2022-05-11,17.9,11.9,21.6,,1.5,64.5
105,강릉,2022-05-12,16.9,13.8,21,,2.6,68.3
105,강릉,2022-05-13,13.2,11.3,17.3,0.3,2,80
105,강릉,2022-05-14,15.8,9,21.7,,2.4,49.5
105,강릉,2022-05-15,15.9,10.4,20.1,,2.4,39.6
105,강릉,2022-05-16,19.9,14.1,26,,2.9,35.1
105,강릉,2022-05-17,20.9,16.2,26,,2.8,41
105,강릉,2022-05-18,24,17,28,,3.1,36.4
105,강릉,2022-05-19,23.4,20.1,26.4,,3.4,35.3
105,강릉,2022-05-20,24.8,20.9,29.7,,3.1,31
105,강릉,2022-05-21,25.3,19.7,30.2,,2.8,41.6
105,강릉,2022-05-22,21.8,16.8,28.3,,2.4,55
105,강릉,2022-05-23,23.6,15.4,29.8,,1.2,59.3
105,강릉,2022-05-24,28,23.5,33.3,,2,40.3
105,강릉,2022-05-25,26.4,22.1,31,,2.6,39.9
105,강릉,2022-05-26,22.1,17.3,26.1,0,3.3,40.6
105,강릉,2022-05-27,20.6,17.1,24.2,,2.5,51.5
105,강릉,2022-05-28,26.9,18.9,33.4,,4,32.6
105,강릉,2022-05-29,26.2,20.4,31.6,,3.4,34.6
105,강릉,2022-05-30,19,17.1,23.8,,1.9,74.5
105,강릉,2022-05-31,23,15.4,28.3,,2.6,42.9
105,강릉,2022-06-01,23.9,18.8,30,,2.5,33.4
105,강릉,2022-06-02,24.8,18.4,31.5,,2.2,38.4
105,강릉,2022-06-03,19.8,18,22.8,,2.3,76.8
105,강릉,2022-06-04,20.4,16.3,23.8,,1.8,75.8
105,강릉,2022-06-05,20.4,18.9,23.5,8.7,2.1,80.1
105,강릉,2022-06-06,16.1,14.3,19,64.5,2.5,95
105,강릉,2022-06-07,15.6,14.2,17.5,1.7,2,82.9
105,강릉,2022-06-08,17.4,13.3,21.2,,1.5,71.5
105,강릉,2022-06-09,17.7,13.5,22.4,7.7,0.8,80.6
105,강릉,2022-06-10,21.1,15,27.4,,1.1,77.5
105,강릉,2022-06-11,19.5,17.2,21.6,,1.2,85.5
105,강릉,2022-06-12,19.8,15.4,23.9,,2.1,76.6
105,강릉,2022-06-13,20.4,18.4,23.7,,1.9,77.3
105,강릉,2022-06-14,18.1,16.1,20.3,4.9,1.3,82.8
105,강릉,2022-06-15,16.4,15.2,18.1,9,1.1,88.3
105,강릉,2022-06-16,21.9,15.5,27.2,,1.9,70.4
105,강릉,2022-06-17,27.5,21.4,32,,2.5,52.1
105,강릉,2022-06-18,28.3,25.1,31.6,,2.2,58.3
105,강릉,2022-06-19,28.5,24.8,32.1,,1.9,59.8
105,강릉,2022-06-20,27.9,24.2,31.9,,1.9,60.4
105,강릉,2022-06-21,25.9,22.4,29.9,,1.5,75.4
105,강릉,2022-06-22,26.9,21.9,31.7,,1.3,74.9
105,강릉,2022-06-23,25.3,22.2,28.9,21.7,1.1,84.1
105,강릉,2022-06-24,27.7,23.3,30.7,27.5,3,65.8
105,강릉,2022-06-25,30.5,24.4,35.3,,4.5,48.4
105,강릉,2022-06-26,29.2,23.7,32.3,4,2.6,64.4
105,강릉,2022-06-27,28.4,26.2,31.4,10.3,1.3,77.6
105,강릉,2022-06-28,31.2,26,33.6,,2.1,56.8
105,강릉,2022-06-29,30.6,27.3,32.9,0.2,2.4,62.8
105,강릉,2022-06-30,25.5,24.1,29.2,25.8,1.8,84.5
105,강릉,2022-07-01,30.3,24.1,34.6,,2.1,63.9
105,강릉,2022-07-02,29.3,25.1,33.4,,1.7,68.6
105,강릉,2022-07-03,30.2,25.7,34.7,,1.4,64.6
105,강릉,2022-07-04,29.3,26.2,32.7,,1.6,68.4
105,강릉,2022-07-05,27.7,24.9,31.9,,1.3,77.3
105,강릉,2022-07-06,26.7,24.3,29.1,0.1,1.2,81.5
105,강릉,2022-07-07,30,25.5,33.6,,1.2,73.1
105,강릉,2022-07-08,30.8,28.2,34.6,,2,63
105,강릉,2022-07-09,28.1,25.7,31,,1.1,74.3
105,강릉,2022-07-10,25.5,24.4,26.8,5.5,0.9,87
105,강릉,2022-07-11,24.5,22.3,28.9,32.7,1.7,90.3
105,강릉,2022-07-12,23.5,22,27,0.1,1.2,84
105,강릉,2022-07-13,23.2,22.2,24.5,27,0.8,90.3
105,강릉,2022-07-14,23.2,21.9,24.5,2.6,1.5,88.8
105,강릉,2022-07-15,23.9,21.1,29.9,22.2,1.4,84.5
105,강릉,2022-07-16,25.2,22.1,30.1,22.6,1.6,79.5
105,강릉,2022-07-17,25.2,22,28.1,0,1.4,80.1
105,강릉,2022-07-18,26.3,23.4,31.8,,1.6,79.3
105,강릉,2022-07-19,26.1,23.5,29.7,0,1.4,77.9
105,강릉,2022-07-20,28.7,25.3,33.1,0.1,1.7,66.5
105,강릉,2022-07-21,22.9,21.9,26.1,69.9,1.7,93.5
105,강릉,2022-07-22,23.4,21.5,26.8,14.8,2,87
105,강릉,2022-07-23,24.4,20.4,28.5,12.3,1.6,81.9
105,강릉,2022-07-24,26,22.7,31.4,6.1,1.4,82
105,강릉,2022-07-25,25.4,23.2,29.7,,1.4,82
105,강릉,2022-07-26,24.7,21.5,27.9,,1.2,83.4
105,강릉,2022-07-27,25.5,20.9,29.3,0.1,1.7,80.3
105,강릉,2022-07-28,26.1,23.3,28.2,0,1.6,83.6
105,강릉,2022-07-29,26.7,24.5,28.8,,1,86.1
105,강릉,2022-07-30,27.1,25.1,28.9,,1,85.1
105,강릉,2022-07-31,26.4,25.5,27.1,11.8,0.7,91.8
105,강릉,2022-08-01,27.4,25.1,31.2,1.9,1.2,87.5
105,강릉,2022-08-02,28.5,26.3,32.1,5.5,1.1,85.4
105,강릉,2022-08-03,30.9,27.8,33.2,0.6,2.6,65.1
105,강릉,2022-08-04,31.1,27.3,35.6,2.8,1.8,68.5
105,강릉,2022-08-05,33.4,29.2,37.7,,2.5,57.8
105,강릉,2022-08-06,33,30.3,36.8,,2.1,61.3
105,강릉,2022-08-07,33,29.7,37,0,2,63.6
105,강릉,2022-08-08,29.5,26.9,31.8,21.6,2.6,73.9
105,강릉,2022-08-09,26.1,22.7,29.9,45.8,1.7,87.6
105,강릉,2022-08-10,24.2,21.7,26.3,61.9,1.1,89.1
105,강릉,2022-08-11,25.1,22.7,27.9,62.7,0.9,89.1
105,강릉,2022-08-12,27.7,23.1,32.2,,1.3,73.9
105,강릉,2022-08-13,26.3,22.8,28.6,0.3,0.9,83.8
105,강릉,2022-08-14,27.3,24.7,30.8,1.5,1,83.5
105,강릉,2022-08-15,30.4,25.6,32.4,0.1,2.1,67.3
105,강릉,2022-08-16,28.7,25.2,31.7,0.3,2.4,71.5
105,강릉,2022-08-17,24.9,22.1,27.7,0,1.9,83.3
105,강릉,2022-08-18,25.8,20.7,30.1,,1.6,76.1
105,강릉,2022-08-19,27.7,25.3,30.1,0,2.4,64.6
105,강릉,2022-08-20,25,21.8,30,0,1.5,83.1
105,강릉,2022-08-21,25.6,20.4,30.6,,1.6,74
105,강릉,2022-08-22,28.2,21.8,33.3,0,1.4,68.5
105,강릉,2022-08-23,25.2,22.5,28.9,0,2,74
105,강릉,2022-08-24,23.1,21.2,26,0,1.2,80.8
105,강릉,2022-08-25,23.7,19.5,27.8,0.4,1.5,72.9
105,강릉,2022-08-26,25.7,21.3,30.7,,1.8,60.8
105,강릉,2022-08-27,23.5,18.7,26.6,,2.7,54.8
105,강릉,2022-08-28,22.2,16.8,27.3,,2.2,60.8
105,강릉,2022-08-29,21.2,19.3,23.4,0.5,1.2,73.9
105,강릉,2022-08-30,19.8,18.2,21,58.9,1,90.5
105,강릉,2022-08-31,20.6,19.7,23.1,42.7,1.6,91.4
105,강릉,2022-09-01,23.1,18.3,29.3,,1.4,75.6
105,강릉,2022-09-02,22.2,18.1,27.5,,1.7,78.1
105,강릉,2022-09-03,23,19.2,26.8,,1.7,77.3
105,강릉,2022-09-04,22.3,20.5,24,3,0.8,89.1
105,강릉,2022-09-05,21,18.7,25,63.4,1.7,92.9
105,강릉,2022-09-06,22,18.5,27,99.4,3.1,75.6
105,강릉,2022-09-07,24.1,18.9,29.2,,2,54.1
105,강릉,2022-09-08,22.7,18.1,27.7,,2.3,65.9
105,강릉,2022-09-09,21.8,16,27.8,,1.7,68.8
105,강릉,2022-09-10,21.3,16.9,25.9,,2.2,76.1
105,강릉,2022-09-11,22.8,20.2,26,,1.6,80.5
105,강릉,2022-09-12,23,20,27.4,0.3,1.2,80.6
105,강릉,2022-09-13,23.3,21.4,26.1,,1,84.5
105,강릉,2022-09-14,23.1,21,26.4,1.6,1.9,82.1
105,강릉,2022-09-15,22.9,20.2,26.8,,1.5,78.8
105,강릉,2022-09-16,24,18.9,29.9,,1.3,80
105,강릉,2022-09-17,25.6,22,29.9,,1.1,83.3
105,강릉,2022-09-18,24.3,22.1,26.1,6.6,1.5,86.3
105,강릉,2022-09-19,20.7,17.6,23.8,28.2,3.5,82.5
105,강릉,2022-09-20,17,13.1,20,0,1.7,72
105,강릉,2022-09-21,17.2,11.9,23.3,,2.1,70.9
105,강릉,2022-09-22,19,12.2,25,,2,67.9
105,강릉,2022-09-23,20.8,16.4,28.6,,2.8,55.5
105,강릉,2022-09-24,20.2,15.2,26.6,,2.3,48.3
105,강릉,2022-09-25,19.4,15.6,25.2,,1.9,64.9
105,강릉,2022-09-26,20.7,16.4,26.7,,2,63.8
105,강릉,2022-09-27,19.9,15,25.9,,1.7,72.9
105,강릉,2022-09-28,19.7,13.9,25.6,,1.6,66.5
105,강릉,2022-09-29,22.3,17.5,28.5,,2.1,60.9
105,강릉,2022-09-30,23.9,18,30.8,,2,53.5
105,강릉,2022-10-01,24.8,19.7,32.8,,2.3,44
105,강릉,2022-10-02,20.6,18,23.4,3.1,1.6,75.4
105,강릉,2022-10-03,20.5,17.9,22.8,0.3,1.1,86.6
105,강릉,2022-10-04,17,13.3,22.2,116.9,1.6,95.4
105,강릉,2022-10-05,13.1,12.6,13.6,41,1,95.8
105,강릉,2022-10-06,14,12.9,14.9,30.2,1.4,95.1
105,강릉,2022-10-07,13.3,12,14.8,40,2.5,93
105,강릉,2022-10-08,14,11.3,18.6,,2,78.9
105,강릉,2022-10-09,15.5,11.6,20.6,0.7,1.9,75
105,강릉,2022-10-10,12.9,9.7,15.5,,4.9,53
105,강릉,2022-10-11,14.3,9.4,20.8,,3.1,54.4
105,강릉,2022-10-12,15.4,9.4,22,,2.6,66.3
105,강릉,2022-10-13,16.8,11.6,23.8,,2,67.6
105,강릉,2022-10-14,16.9,11.5,23.2,,1.2,74.6
105,강릉,2022-10-15,18.6,13.5,24.1,,1.3,73.6
105,강릉,2022-10-16,18.1,15,20.5,,1.5,74.8
105,강릉,2022-10-17,15.2,10,19.8,,2.8,58.5
105,강릉,2022-10-18,11.4,7.3,16.6,,2.9,55.3
105,강릉,2022-10-19,11.8,6.9,17.8,,2,49
105,강릉,2022-10-20,16.5,9.2,24,,2.1,38.6
105,강릉,2022-10-21,19.1,15.5,23.8,,3,27.9
105,강릉,2022-10-22,19.6,15.7,24.9,,2.4,35.4
105,강릉,2022-10-23,12.6,8.8,16.1,29.6,1.6,85.1
105,강릉,2022-10-24,8.5,7.6,9.7,19.3,2.3,86.1
105,강릉,2022-10-25,9.9,7.5,13.3,1.9,2,79.6
105,강릉,2022-10-26,13.7,6.9,21.2,,1.9,59.6
105,강릉,2022-10-27,15.8,11.9,22.1,,2.1,60.3
105,강릉,2022-10-28,13.4,12.7,14.1,10.2,0.8,88.9
105,강릉,2022-10-29,13.2,9.5,17.9,,1.5,83
105,강릉,2022-10-30,13.2,10.3,18.3,,1.8,75.9
105,강릉,2022-10-31,14.1,10,20,,2.1,71.5
105,강릉,2022-11-01,16.3,10.7,22.9,,1.8,58.1
105,강릉,2022-11-02,14.5,10.3,20.9,,1.9,55
105,강릉,2022-11-03,13.8,11.5,18.1,,2.4,45.1
105,강릉,2022-11-04,9.1,5.9,13.4,,2.6,41.6
105,강릉,2022-11-05,10.4,4,17.2,,2.2,29.1
105,강릉,2022-11-06,11.7,7.5,17.7,,2,47.6
105,강릉,2022-11-07,13.7,7.9,19.6,,2.1,43.6
105,강릉,2022-11-08,13.9,10,19.7,,1.8,54.1
105,강릉,2022-11-09,16,10.7,22.4,,2.6,41.4
105,강릉,2022-11-10,15.7,12.5,20.8,,2.3,58
105,강릉,2022-11-11,15.6,12.4,20.5,3,1.3,80.5
105,강릉,2022-11-12,19.4,9.9,26.5,0.2,2.1,63.9
105,강릉,2022-11-13,13.4,9.7,21.2,28.7,2.2,87
105,강릉,2022-11-14,11.5,8.2,16.9,,2.1,66
105,강릉,2022-11-15,11.3,7,16.2,,2.7,48
105,강릉,2022-11-16,11.8,7.9,17.3,,2.1,49
105,강릉,2022-11-17,12.2,8.1,18.5,,1.8,51.6
105,강릉,2022-11-18,13.3,9.7,20.5,,2.4,51.6
105,강릉,2022-11-19,12.5,9.6,18,,2.1,67.8
105,강릉,2022-11-20,12.9,8.7,20.7,,1.4,66.3
105,강릉,2022-11-21,14.9,9.3,20.7,,2,57.4
105,강릉,2022-11-22,12.8,8.9,17,4.2,1.6,67
105,강릉,2022-11-23,11.7,9.3,14,19.6,1.5,86.1
105,강릉,2022-11-24,11.1,7.6,17.2,,2,64.4
105,강릉,2022-11-25,16,9.6,21.6,,4.2,36.6
105,강릉,2022-11-26,12.9,6.9,17,,3.6,30.4
105,강릉,2022-11-27,9.4,4.5,15,,1.9,38.8
105,강릉,2022-11-28,10.8,4.7,15.9,3.4,1,66.8
105,강릉,2022-11-29,11.5,6.6,15.6,3.2,2,59.8
105,강릉,2022-11-30,0.4,-3,6.6,,3.4,29.1
105,강릉,2022-12-01,-1.1,-5.3,5.3,,2.9,32.9
105,강릉,2022-12-02,0.6,-4.7,6.2,,2.6,35.3
105,강릉,2022-12-03,6.3,0.2,10.3,,3.7,50
105,강릉,2022-12-04,2.4,-0.1,5.7,,2,31.3
105,강릉,2022-12-05,1.7,-0.7,7.5,,2.3,29.9
105,강릉,2022-12-06,2.7,-1.5,7.4,,2.7,46.5
105,강릉,2022-12-07,6.8,3.2,10.7,,3.3,43.4
105,강릉,2022-12-08,7.6,4.4,12.5,,2.5,35.9
105,강릉,2022-12-09,6.9,3.8,10.9,,2.8,49.1
105,강릉,2022-12-10,5.9,2.2,11.2,,2.4,48.6
105,강릉,2022-12-11,5.3,1.9,10.4,,2.6,55.8
105,강릉,2022-12-12,6.4,2.4,13.5,,2.8,53.9
105,강릉,2022-12-13,3.6,-1.3,6.3,,3.4,50.5
105,강릉,2022-12-14,-4.7,-7.7,-1.3,,4,27.8
105,강릉,2022-12-15,0.1,-5.2,3.5,,2.5,53.4
105,강릉,2022-12-16,0.5,-3.9,6.1,,2.1,30.3
105,강릉,2022-12-17,-2.9,-7,1.4,,3.4,28.3
105,강릉,2022-12-18,-5.8,-9.1,-1.4,,3.4,28.8
105,강릉,2022-12-19,-3,-7.5,2.4,,3.2,36.1
105,강릉,2022-12-20,1.4,-3.7,7.2,,2.7,31.9
105,강릉,2022-12-21,4.7,1.6,9.2,,2.7,53.4
105,강릉,2022-12-22,-3.8,-8.9,2.8,,4,41.6
105,강릉,2022-12-23,-8.4,-11.3,-5.3,,5.3,42.5
105,강릉,2022-12-24,-0.7,-8.6,6.9,,3.4,46.6
105,강릉,2022-12-25,2.1,-1,7.5,,3,41.6
105,강릉,2022-12-26,1.7,-2.6,8.6,,2.8,42.8
105,강릉,2022-12-27,3.2,-1.5,10.6,,3.2,35.4
105,강릉,2022-12-28,1.5,-2.1,5.2,,3.9,40.9
105,강릉,2022-12-29,0.2,-3.9,6.9,,2.7,36.5
105,강릉,2022-12-30,2.1,-1,7.9,,2.9,43.8
105,강릉,2022-12-31,2.4,-1.8,6,,4,44
